Comment,"Address (associated with ""acct"")",Stake,Status,"VRF identifier (associated with ""sel"")","Ephemeral identifier (associated with ""vote"")","Vote First Valid (associated with ""first"")","Vote Last Valid (associated with ""last"")","Vote Key Dilution (associated with ""voteKD"")"
,6LY2PGUJLCK4Q75JU4IX5VWVJVU22VGJBWPZOFP3752UEBIUBQRNGJWIEA," 40,000,000 ",NotParticipating,,,,,
,L7AGFNAFJ6Z2FYCX3LXE4ZSERM2VOJF4KPF7OUCMGK6GWFXXDNHZJBEC2E," 10,000,000 ",NotParticipating,,,,,
,RYXX5U2HMWGTPBG2UDLDT6OXDDRCK2YGL7LFAKYNBLRGZGYEJLRMGYLSVU," 40,000,000 ",NotParticipating,,,,,
,S263NYHFQWZYLINTBELLMIRMAJX6J5CUMHTECTGGVZUKUN2XY6ND2QBZVY," 21,647,524 ",NotParticipating,,,,,
,AERTZIYYGK3Q364M6DXPKSRRNSQITWYEDGAHXC6QXFCF4GPSCCSISAGCBY," 19,306,244 ",NotParticipating,,,,,
,34UYPXOJA6WRTWRNH5722LFDLWT23OM2ZZTCFQ62EHQI6MM3AJIAKOWDVQ," 10,000,000 ",NotParticipating,,,,,
,EDVGNQL6APUFTIGFZHASIEWGJRZNWGIKJE64B72V36IQM2SJPOAG2MJNQE," 20,000,000 ",NotParticipating,,,,,
,RKKLUIIGR75DFWGQOMJB5ZESPT7URDPC7QHGYKM4MAJ4OEL2J5WAQF6Z2Q," 40,000,000 ",NotParticipating,,,,,
,M4TNVJLDZZFAOH2M24BE7IU72KUX3P6M2D4JN4WZXW7WXH3C5QSHULJOU4," 10,000,000 ",NotParticipating,,,,,
,WQL6MQS5SPK3CR3XUPYMGOUSCUC5PNW5YQPLGEXGKVRK3KFKSAZ6JK4HXQ," 10,000,000 ",NotParticipating,,,,,
,36JTK4PKUBJGVCWKXZTAG6VLJRXWZXQVPQQSYODSN6WEGVHOWSVK6O54YU," 10,000,000 ",NotParticipating,,,,,
,YFOAYI4SNXJR2DBEZ3O6FJOFSEQHWD7TYROCNDWF6VLBGLNJMRRHDXXZUI," 30,000,000 ",NotParticipating,,,,,
,XASOPHD3KK3NNI5IF2I7S7U55RGF22SG6OEICVRMCTMMGHT3IBOJG7QWBU," 40,000,000 ",NotParticipating,,,,,
,H2AUGBLVQFHHFLFEPJ6GGJ7PBQITEN2GE6T7JZCALBKNU7Q52AVJM5HOYU," 10,000,000 ",NotParticipating,,,,,
,GX3XLHSRMFTADVKJBBQBTZ6BKINW6ZO5JHXWGCWB4CPDNPDQ2PIYN4AVHQ," 40,000,000 ",NotParticipating,,,,,
,VBJBJ4VC3IHUTLVLWMBON36Y5MPAMPV4DNGW5FQ47GRLPT7JR5PQOUST2E," 4,524,887 ",NotParticipating,,,,,
,7AQVTOMB5DJRSUM4LPLVF6PY3Y5EBDF4RZNDIWNW4Z63JYTAQCPQ62IZFE," 50,000,000 ",NotParticipating,,,,,
,B4ZIHKD4VYLA4BAFEP7KUHZD7PNWXW4QLCHCNKWRENJ2LYVEOIYA3ZX6IA," 40,000,000 ",NotParticipating,,,,,
,G5RGT3EENES7UVIQUHXMJ5APMOGSW6W6RBC534JC6U2TZA4JWC7U27RADE," 10,000,000 ",NotParticipating,,,,,
,5AHJFDLAXVINK34IGSI3JA5OVRVMPCWLFEZ6TA4I7XUZ7I6M34Q56DUYIM," 20,000,000 ",NotParticipating,,,,,
