struct name,location,mirrorOf
BuildVersion,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,
Builder,go-algorand/crypto/stateproof/builder.go,
CCServiceRequest,go-algorand/test/commandandcontrol/lib/ccCommon.go,
CadaverMetadata,go-algorand/agreement/cadaver.go,
CallFrame,go-algorand/data/transactions/logic/debugger.go,
CatchpointAbortResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,
CatchpointAbortResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,
CatchpointAlreadyInProgressError,go-algorand/node/error.go,
CatchpointCatchupAccessorImpl,go-algorand/ledger/catchupaccessor.go,
CatchpointCatchupAccessorProgress,go-algorand/ledger/catchupaccessor.go,
CatchpointCatchupService,go-algorand/catchup/catchpointService.go,
CatchpointCatchupStats,go-algorand/catchup/catchpointService.go,
CatchpointFileHeader,go-algorand/ledger/catchpointfileheader.go,
CatchpointGenerationEventDetails,go-algorand/logging/telemetryspec/event.go,
CatchpointLabel,go-algorand/ledger/ledgercore/catchpointlabel.go,
CatchpointStartResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,
CatchpointStartResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,
CatchpointUnableToStartError,go-algorand/node/error.go,
CatchupFilter,go-algorand/agreement/fuzzer/catchupFilter_test.go,
CatchupFilterConfig,go-algorand/agreement/fuzzer/catchupFilter_test.go,
CatchupStartEventDetails,go-algorand/logging/telemetryspec/event.go,
CatchupStopEventDetails,go-algorand/logging/telemetryspec/event.go,
CdtFrontend,go-algorand/cmd/tealdbg/cdtdbg.go,
CdtFrontendParams,go-algorand/cmd/tealdbg/cdtdbg.go,
ChromeRequest,go-algorand/cmd/tealdbg/cdt/proto.go,
ChromeResponse,go-algorand/cmd/tealdbg/cdt/proto.go,
ClearStateBudgetError,go-algorand/data/transactions/logic/eval.go,
Client,go-algorand/libgoal/libgoal.go,
ClientConfig,go-algorand/libgoal/libgoal.go,
ClockedFilter,go-algorand/agreement/fuzzer/clockedFilter_test.go,
CobraStringSliceValue,go-algorand/cmd/util/cmd.go,
CobraStringValue,go-algorand/cmd/util/cmd.go,
Command,go-algorand/test/commandandcontrol/cc_agent/component/agent.go,
CommitStats,go-algorand/crypto/merkletrie/cache.go,
CommittablePublicKey,go-algorand/crypto/merklesignature/committablePublicKeys.go,
CompileResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,
CompileResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,
CompileResponseWithSourceMap,go-algorand/daemon/algod/api/server/v2/handlers.go,
Component,go-algorand/test/commandandcontrol/cc_agent/component/agent.go,
